NOMBRE,NOMBRE-VIA,CODIGO-POSTAL,BARRIO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD
Centro Cultural el Torito (Moratalaz),MORATALAZ,28030,VINATEROS,MORATALAZ,445250,4473240,40.40609591857167,-3.646536107063507
Centro Cultural Fernando de los R�os (Latina),CAMARENA,28047,ALUCHE,LATINA,435929,4472140,40.39552931214334,-3.7562667464373223
Centro Cultural Galileo (Chamber�),GALILEO,28015,ARAPILES,CHAMBERI,439851,4476347,40.43371190964793,-3.7104543597957758
Centro Cultural Gloria Fuertes (Barajas),LOGRO�O,28042,CORRALEJOS,BARAJAS,449775,4479261,40.460622835379624,-3.5936877657335935
Centro Cultural Hortaleza,SANTA VIRGILIA,28033,PINAR DEL REY,HORTALEZA,445689,4481092,40.476859845869534,-3.6420353342333227
Centro Cultural Huerta de la Salud (Hortaleza),MAR DE ARAL,28033,PINAR DEL REY,HORTALEZA,445599,4480837,40.4745567778344,-3.6430751341515526
Centro Cultural Jos� Luis L�pez V�zquez (San Blas - Canillejas),FEBRERO,28022,REJAS,SAN BLAS-CANILLEJAS,451540,4477716,40.446818592300296,-3.572741163820915
Centro Cultural Jos� Luis Sampedro (Latina) (antiguo Centro Cultural Lucero),CASTROSERNA,28047,LUCERO,LATINA,436542,4472809,40.40159394334669,-3.749110841406562
Centro Cultural Juan Gris (Moncloa - Aravaca),FRANCOS RODR�GUEZ,28039,VALDEZARZA,MONCLOA-ARAVACA,439719,4479028,40.457862962907384,-3.71225373746578
Centro Cultural Julio Cort�zar (Moncloa - Aravaca),ANTONIO MACHADO,28035,VALDEZARZA,MONCLOA-ARAVACA,439107,4480023,40.46678159096302,-3.7195669111891703
Centro Cultural Juvenil Usera,CUESTA,28026,MOSCARDO,USERA,440065,4471477,40.389856130874605,-3.7074718790538297
Centro Cultural la Elipa (Ciudad Lineal),SANTA FELICIDAD,28017,VENTAS,CIUDAD LINEAL,444934,4475281,40.42447060804354,-3.6504253324201104
Centro Cultural La Vaguada (Fuencarral - El Pardo),MONFORTE DE LEMOS,28029,EL PILAR,FUENCARRAL-EL PARDO,440003,4481374,40.47900813206291,-3.709138377702435
Centro Cultural Lope de Vega (Puente de Vallecas),CONCEJO DE TEVERGA,28053,ENTREVIAS,PUENTE DE VALLECAS,443084,4471058,40.386293684801885,-3.6718658006661906
Centro Cultural Los Rosales (Villaverde),LOS ROSALES,28021,BUTARQUE,VILLAVERDE,442592,4467116,40.35074797433515,-3.6773064421969233
Centro Cultural Luis Peidr� (Retiro),LUIS PEIDRO,28007,ADELFAS,RETIRO,442921,4472249,40.397020792322316,-3.673881351837232
Centro Cultural Mercado de Ibiza (Retiro),IBIZA,28009,IBIZA,RETIRO,442642,4474600,40.41817157699025,-3.677392762224429
Centro Cultural Meseta de Orcasitas (Usera),ASOCIACION,28041,ORCASITAS,USERA,439988,4469239,40.36968950845358,-3.7081679144829076
Centro Cultural Miguel Hern�ndez (Latina),SERRADILLA,28044,LAS AGUILAS,LATINA,433732,4470309,40.378853797128336,-3.7819616113032115
Centro Cultural Moncloa (Moncloa - Aravaca),MONCLOA,28008,ARGUELLES,MONCLOA-ARAVACA,439137,4476518,40.435209393826675,-3.7188765163188293
Centro Cultural Nicol�s Salmer�n (Chamart�n),MANTUANO,28002,CIUDAD JARDIN,CHAMARTIN,442766,4477922,40.44810636195716,-3.6762309620097398
Centro Cultural Orcasur (Usera),PUEBLO,28041,ORCASUR,USERA,440582,4468910,40.366768324753416,-3.701141063083806
Centro Cultural Palacete Quinta del Berro (Salamanca),ENRIQUE D'ALMONTE,28028,FUENTE DEL BERRO,SALAMANCA,443869,4475023,40.42206601994432,-3.662968075865235
Centro Cultural Pr�ncipe de Asturias (Ciudad Lineal),HERMANOS GARCIA NOBLEJAS,28037,PUEBLO NUEVO,CIUDAD LINEAL,446058,4476602,40.436444648624814,-3.6373000672722675
Centro Cultural Puerta de Toledo (Centro),GRAN VIA DE SAN FRANCISCO,28005,PALACIO,CENTRO,439702,4473428,40.40740551053055,-3.7119218940274026
Centro Cultural San Ferm�n (Usera),ESTAFETA,28041,SAN FERMIN,USERA,441357,4469445,40.37164288657417,-3.6920627827867514
Centro Cultural San Juan Bautista (Ciudad Lineal),SAN NEMESIO,28043,SAN JUAN BAUTISTA,CIUDAD LINEAL,444312,4478369,40.45224737965276,-3.6580402287911937
Centro Cultural Sara Montiel (Latina) (antiguo Centro Cultural Campamento),BOADILLA DEL MONTE,28024,CAMPAMENTO,LATINA,434331,4472625,40.399764677637116,-3.775144917950534
Centro Cultural Teresa de Calcuta (Barajas),NAVIO,28042,ALAMEDA DE OSUNA,BARAJAS,450284,4478668,40.45531140556268,-3.587638001688095
Centro Cultural Usera 1,RAFAELA YBARRA,28026,PRADOLONGO,USERA,439760,4470507,40.381095838993176,-3.710973351109332
